date,close,change,change_pct,per,pbr,dividend_yield_pct
2008-05-02,1848.27,22.8,1.25,14.65,1.54,1.65
2008-05-06,1859.06,10.79,0.58,14.74,1.55,1.64
2008-05-07,1854.01,-5.05,-0.27,14.71,1.55,1.64
2008-05-08,1848,-6.01,-0.32,14.69,1.54,1.65
2008-05-09,1823.7,-24.3,-1.31,14.5,1.52,1.67
2008-05-13,1842.8,19.1,1.05,14.66,1.54,1.65
2008-05-14,1843.75,0.95,0.05,14.67,1.54,1.65
2008-05-15,1885.71,41.96,2.28,15.01,1.57,1.61
2008-05-16,1888.88,3.17,0.17,15.03,1.58,1.61
2008-05-19,1885.37,-3.51,-0.19,14.99,1.57,1.61
2008-05-20,1873.15,-12.22,-0.65,14.92,1.56,1.62
2008-05-21,1847.51,-25.64,-1.37,14.67,1.54,1.65
2008-05-22,1835.42,-12.09,-0.65,14.58,1.53,1.66
2008-05-23,1827.94,-7.48,-0.41,14.52,1.52,1.66
2008-05-26,1800.58,-27.36,-1.5,14.29,1.5,1.69
2008-05-27,1825.23,24.65,1.37,14.48,1.52,1.67
2008-05-28,1805.64,-19.59,-1.07,14.32,1.5,1.68
2008-05-29,1841.22,35.58,1.97,14.6,1.53,1.65
2008-05-30,1852.02,10.8,0.59,14.69,1.54,1.64
2008-06-02,1847.53,-4.49,-0.24,14.66,1.54,1.65
2008-06-03,1819.39,-28.14,-1.52,14.44,1.51,1.67
2008-06-04,1833.81,14.42,0.79,14.56,1.53,1.66
2008-06-05,1832.31,-1.5,-0.08,14.55,1.53,1.66
2008-06-09,1808.96,-23.35,-1.27,14.38,1.51,1.68
2008-06-10,1774.38,-34.58,-1.91,14.63,1.48,1.71
2008-06-11,1781.67,7.29,0.41,14.19,1.49,1.7
2008-06-12,1739.36,-42.31,-2.37,13.84,1.45,1.74
2008-06-13,1747.35,7.99,0.46,13.91,1.46,1.74
2008-06-16,1760.82,13.47,0.77,14.02,1.47,1.72
2008-06-17,1750.71,-10.11,-0.57,13.94,1.46,1.73
2008-06-18,1774.13,23.42,1.34,14.13,1.48,1.71
2008-06-19,1740.72,-33.41,-1.88,13.85,1.45,1.74
2008-06-20,1731,-9.72,-0.56,13.78,1.44,1.75
2008-06-23,1715.59,-15.41,-0.89,13.65,1.43,1.77
2008-06-24,1710.84,-4.75,-0.28,13.62,1.43,1.77
2008-06-25,1717.79,6.95,0.41,13.68,1.43,1.77
2008-06-26,1717.66,-0.13,-0.01,13.68,1.43,1.77
2008-06-27,1684.45,-33.21,-1.93,13.39,1.4,1.8
2008-06-30,1674.92,-9.53,-0.57,13.31,1.4,1.81
2008-07-01,1666.46,-8.46,-0.51,13.21,1.39,1.82
2008-07-02,1623.6,-42.86,-2.57,12.87,1.35,1.87
2008-07-03,1606.54,-17.06,-1.05,12.74,1.34,1.89
2008-07-04,1577.94,-28.6,-1.78,12.51,1.32,1.92
2008-07-07,1579.72,1.78,0.11,12.52,1.32,1.92
