date,close,change,change_pct,open,high,low,volume_thousand_shares,trading_value_million_krw,market_cap_million_krw
2007-09-06,1888.81,23.22,1.24,1862,1889.06,1844.64,447294,5393110,939977420
2007-09-07,1884.9,-3.91,-0.21,1886.6,1899.04,1869.56,392541,5389721,937978022
2007-09-10,1835.87,-49.03,-2.6,1845.59,1846.82,1811.34,360191,4845629,913891169
2007-09-11,1847.36,11.49,0.63,1844.68,1851.35,1827.9,420500,4876982,919635804
2007-09-12,1813.52,-33.84,-1.83,1853.94,1855.31,1813.33,433936,5062684,902984976
2007-09-13,1848.02,34.5,1.9,1817.87,1848.99,1805.88,338425,5821322,920031684
2007-09-14,1870.02,22,1.19,1856.17,1875.95,1849.37,373101,5520770,930664143
2007-09-17,1871.68,1.66,0.09,1873.65,1876.04,1853.45,315811,4392704,931362951
2007-09-18,1838.61,-33.07,-1.77,1867.61,1870.83,1837.22,403835,4954222,915174630
2007-09-19,1902.65,64.04,3.48,1892.78,1905.75,1886.95,480112,7314068,946771680
2007-09-20,1908.97,6.32,0.33,1902.23,1915.19,1894.76,441854,6528881,949815806
2007-09-21,1919.26,10.29,0.54,1909.37,1921.23,1902.11,440059,6278585,958785804
2007-09-27,1945.28,26.02,1.36,1944.87,1952.39,1935.02,394523,7229451,971904679
2007-09-28,1946.48,1.2,0.06,1950.99,1951.18,1936.86,541690,6499427,974020973
2007-10-01,1962.67,16.19,0.83,1948.78,1970.11,1946.13,436097,5634609,981846480
2007-10-02,2014.09,51.42,2.62,1991,2014.96,1981.64,473922,8245322,1007258954
2007-10-04,2003.6,-10.49,-0.52,1998.56,2013.21,1992.01,462563,8422175,1001814167
2007-10-05,1996.03,-7.57,-0.38,2007.84,2009.68,1990.82,380390,6684696,998143428
2007-10-08,2012.82,16.79,0.84,2020.34,2022.01,2002.43,504195,7927066,1006408166
2007-10-09,2014.13,1.31,0.07,2014.94,2022.87,1995.05,471522,7502359,1006836849
2007-10-10,2041.12,26.99,1.34,2033.69,2044.78,2026.9,368708,7359374,1015407986
2007-10-11,2058.85,17.73,0.87,2040.35,2058.87,2033.45,519170,10559757,1024157539
2007-10-12,2026.44,-32.41,-1.57,2047.67,2057.39,2020.8,456901,9210526,1008420006
2007-10-15,2035.39,8.95,0.44,2043.93,2047.02,2012.04,383874,7581267,1012677631
2007-10-16,2005.76,-29.63,-1.46,2014.36,2042.84,2001.3,548706,10559119,997749792
2007-10-17,1983.94,-21.82,-1.09,2000.39,2009.67,1933.82,507310,9224439,987294979
2007-10-18,2005.09,21.15,1.07,1989.6,2012.32,1977.5,426885,8825588,997707725
2007-10-19,1970.1,-34.99,-1.75,2003.27,2003.27,1970.1,390278,7486608,980662224
2007-10-22,1903.81,-66.29,-3.36,1901.15,1910.19,1875.23,354483,7092173,948030824
2007-10-23,1947.98,44.17,2.32,1936.92,1952.32,1909.61,371171,7292644,970713597
2007-10-24,1933.36,-14.62,-0.75,1966.55,2003.2,1923.07,481128,9259531,963437067
2007-10-25,1976.75,43.39,2.24,1967.08,1982.19,1941.05,453612,8222139,985029867
2007-10-26,2028.06,51.31,2.6,1987.2,2028.07,1968.82,438858,9288449,1010724611
2007-10-29,2062.92,34.86,1.72,2051.62,2070.86,2044.09,481228,9173176,1028026869
2007-10-30,2052.37,-10.55,-0.51,2058.78,2066,2037.75,402154,7829129,1023074945
2007-10-31,2064.85,12.48,0.61,2052.6,2065.53,2043.93,365439,7821071,1029274303
2007-11-01,2063.14,-1.71,-0.08,2085.33,2085.45,2048.68,401963,8935810,1028595503
2007-11-02,2019.34,-43.8,-2.12,2014.65,2049.62,2014.65,388387,8907541,1006894558
2007-11-05,2015.76,-3.58,-0.18,2025.04,2027.21,1992.24,300210,7328976,1005070867
2007-11-06,2054.24,38.48,1.91,2023.41,2055.53,2020.24,312248,7473608,1024273450
2007-11-07,2043.19,-11.05,-0.54,2074.18,2085.03,2043.19,339566,8723994,1019301035
2007-11-08,1979.56,-63.63,-3.11,2009.64,2022.61,1971.95,330636,8614072,990419276
2007-11-09,1990.47,10.91,0.55,2001.11,2017.37,1968.86,366608,8905293,995913463
2007-11-12,1923.42,-67.05,-3.37,1957.78,1957.78,1901.87,312694,7030307,963078394
2007-11-13,1932.89,9.47,0.49,1928.78,1935.93,1887.76,394895,7429444,967515055
2007-11-14,1972.58,39.69,2.05,1982.93,1984.84,1956.9,362094,7934955,987164610
2007-11-15,1947.74,-24.84,-1.26,1970.13,1985.38,1932.03,367679,7999286,974610896
2007-11-16,1926.2,-21.54,-1.11,1916.88,1928.93,1890.25,304256,6435347,963723108
